Gene	A19_uninfected	A20_uninfected	A21_uninfected	A22_uninfected	A23_uninfected	A19_influenza	A20_influenza	A21_influenza	A22_influenza	A23_influenza
CCDC189	42	38	26	17	50	47	33	28	23	34
OR8A1	0	0	0	0	0	0	0	0	0	0
KIAA0895L	860	840	490	768	1358	677	1139	746	786	691
HLA-DRB1	19514	21369	12145	44288	16596	34387	32692	19180	44046	37805
VN1R2	2	3	3	0	2	1	1	2	2	1
MYT1	9	28	6	24	27	34	25	13	10	27
SERPINA3	0	0	0	0	0	0	0	0	0	0
AKR1C3	0	0	0	0	0	0	0	0	0	0
SPATS2L	3819	4653	4185	3530	4242	5938	6456	5629	4739	6850
OR11H13P	0	1	0	0	0	3	0	0	0	0
ZNF250	1006	766	641	932	1197	1169	996	876	1182	867
WDSUB1	1619	1703	1547	1178	1874	1829	2042	1557	1287	1140
ZNF79	527	727	412	541	647	583	617	534	503	558
S100A4	8391	16911	8384	2420	8651	9634	9589	7781	2379	3404
PLEKHG4	566	550	328	507	803	337	322	468	449	330
KRTAP4-3	1	0	0	0	0	1	0	0	0	0
FAT4	1178	1467	838	547	1697	1360	1178	1168	600	710
C8orf86	25	10	11	24	14	17	11	10	33	6
COLCA1	277	266	415	21	159	378	112	511	32	66
KIF19	259	272	132	24	318	465	376	140	24	481
OR6K2	0	0	0	0	0	0	0	0	0	0
ZNF681	110	143	81	33	159	121	131	100	63	54
ACADSB	4578	2060	3392	2150	2602	5132	2818	4817	2776	1786
STK40	1779	1950	1635	2709	1905	2578	2302	2306	3286	2053
RPS2P4	51	110	75	52	53	108	90	90	60	57
OR10J1	0	0	0	0	0	0	0	0	0	0
TMEM63A	2309	1691	1431	2135	2351	2176	2205	2016	2495	2109
CTSE	3659	4945	6063	3262	5763	4879	3779	7361	4186	3541
SEMA4A	911	717	698	1164	1108	1109	669	1120	1161	1301
HRCT1	60	152	93	14	111	54	89	83	13	62
MPHOSPH8	5897	8547	5532	5215	7505	7831	9138	7935	5915	5812
RNF216P1	331	418	306	322	295	368	340	318	308	237
EEF1A1P5	45902	56058	49613	53344	57144	72895	62675	59520	57744	47187
GREB1	131	242	138	134	277	164	391	151	115	97
SIRPB2	44	112	96	88	148	69	66	112	71	127
ZNF766	569	577	592	533	574	734	793	699	692	556
RYR1	100	99	73	89	122	137	117	92	119	87
SRGAP3	972	698	520	366	1024	945	1025	533	475	654
KRTAP5-3	0	0	0	1	2	0	1	0	1	1
FAM217B	548	742	502	179	758	698	530	640	316	445
SULT1C3	2	0	3	0	0	2	0	0	2	3
TUBB	20733	21320	15684	17234	18728	18168	17555	20868	21349	11556
OR2J2	0	0	0	0	0	0	0	0	0	0
LCOR	3989	3851	3160	4053	3507	4703	4498	3853	4390	3982
SUPT5H	7755	5947	4931	7670	8864	11423	8705	7156	8499	8116
XPNPEP3	1212	822	783	636	1244	1141	1037	1148	724	787
OR2T2	0	0	0	0	0	1	0	0	0	0
OR2C3	0	0	0	0	0	0	0	0	0	0
LINC00615	0	0	0	0	0	0	0	0	0	0
ZNF107	518	461	379	254	355	481	485	424	296	470
OR10S1	0	0	0	0	0	0	0	2	0	0
SFTA2	1390	1504	2510	1050	1657	2189	1528	3131	1176	1515
PPIA	8016	14786	8464	6945	9379	10174	9733	10238	7678	7218
ZNF471	665	404	286	311	623	452	565	468	549	423
OR10J3	0	0	0	0	0	0	0	0	0	2
ZNF836	0	0	0	0	0	0	0	0	0	0
ZNF493	542	692	592	390	573	573	653	667	407	399
LINC00523	0	0	0	1	0	11	0	1	1	0
RF00017	0	0	0	0	0	0	0	0	0	0
GTF2IRD2	1954	1484	1008	2143	2527	1863	1974	1592	2896	2390
GRM7	73	82	117	117	219	411	147	104	108	105
SUPT3H	2954	2940	2274	3304	2466	3000	2767	3028	3566	2222
BECN2	0	0	0	0	0	0	0	0	0	0
NIF3L1	1041	1132	881	510	1084	1031	928	1152	705	750
GARS-DT	2897	1870	2511	2405	2607	2723	2383	3641	2789	1612
ATP2A1	62	41	37	55	51	67	76	41	65	90
ZNRD1ASP	0	0	0	0	0	0	0	0	0	0
HLA-DRB9	18	33	67	43	62	30	71	128	70	187
AC146944.1	2524	3441	1416	774	2357	2542	4495	2024	999	1207
IARS	16176	9472	9884	10992	10386	14040	11647	12556	10569	7168
MFSD14C	1228	1382	1111	1163	1419	1688	1500	1567	1448	1308
POM121	2640	2211	1693	3601	2960	2999	3110	2701	3671	2571
ZBTB44	2610	3294	2397	2210	2871	3053	2759	3043	2774	1770
GIMAP5	93	68	50	40	93	65	79	38	70	86
STK31	173	95	82	112	138	204	112	82	136	98
CGB7	25	11	11	8	41	32	12	14	17	25
NLGN3	67	63	23	95	134	68	61	75	104	82
OR8D1	0	0	0	0	0	2	1	0	0	0
ADH7	30	35	0	1	23	81	30	9	9	4
ZKSCAN7	33	39	35	21	47	32	17	31	13	20
ZNF729	13	4	1	7	8	11	8	4	4	4
CD55	5690	6559	8717	11349	8642	10596	7752	11029	14208	9181
CPNE4	100	131	125	146	362	315	159	234	202	183
ZNF565	622	513	408	424	778	595	635	550	606	482
NTNG2	34	38	17	62	81	72	32	40	57	96
ELAVL3	13	25	24	20	24	21	26	37	15	17
WDR5	863	1111	838	988	1395	1213	1087	1249	1034	768
PRSS29P	0	1	0	1	5	0	6	0	0	0
LONP1	5860	3985	4189	5856	2960	7863	6935	5300	4955	3379
C9orf163	5	7	1	3	12	3	1	6	0	0
TRRAP	1490	1699	1102	1817	1915	1630	1813	1609	1848	1618
NUDT11	74	56	21	57	86	153	134	54	73	127
SRGAP2B	5503	5707	3700	5874	6382	5197	6062	5869	6903	5916
FUT4	0	0	0	0	0	0	0	0	0	0
ASB13	436	558	343	134	764	400	342	472	204	345
SLC35F1	370	368	226	848	481	352	441	334	790	381
ZNF34	500	444	326	503	838	498	576	353	475	445
ZNF781	0	0	0	0	0	0	0	0	0	0
OR4Q2	0	0	0	0	0	0	0	0	0	0
ZNF140	955	939	763	1782	1227	839	884	907	1992	1037
INCA1	105	135	84	96	169	120	96	116	129	125
AC116337.1	0	0	0	0	0	0	0	0	0	0
ZNF774	134	92	52	31	71	78	76	112	64	37
AC244505.1	1	2	0	3	1	2	2	2	0	3
PTPN1	4949	4835	4990	7777	6100	6830	6915	6501	8737	6607
OR10D1P	1	1	1	0	5	4	1	6	3	2
EVL	3476	2772	2230	2544	3851	3485	3961	3611	2995	2284
SPANXD	0	0	0	0	0	0	0	0	0	2
THEM5	38	37	20	12	63	24	41	31	2	26
NOXO1	4	4	1	2	4	1	3	5	3	2
EPHB4	518	904	383	300	714	583	653	609	389	369
PRTN3	12	26	7	2	13	20	44	13	2	8
ZNF765	1072	978	825	839	1144	942	904	1026	1095	757
ZNF124	815	1029	789	586	1224	693	867	1053	854	717
XRCC6	10528	10998	8201	10652	12542	11778	9550	11299	11871	9639
S100A5	20	13	12	4	25	21	22	12	12	12
C20orf204	0	0	0	0	0	0	0	0	0	0
PPP1R26	661	446	443	590	648	476	459	693	611	513
NBPF4	1	2	10	2	1	16	1	1	0	2
TSC22D2	4650	3576	2739	8206	4597	5718	4371	4237	8779	3804
CRYBA4	4	3	1	0	8	4	25	4	0	7
ASMT	15	20	11	24	17	24	28	20	19	15
NPIPB15	357	325	277	369	787	353	457	298	446	565
ZNF569	513	458	296	414	476	475	443	371	393	397
ARMCX4	965	1260	791	652	1632	927	1142	1012	888	988
YRDC	67	168	118	175	101	136	106	154	182	117
ZNF777	42	64	48	33	92	48	73	64	62	38
PIK3R4	1615	1288	996	1660	1630	1737	1273	1484	1786	1038
ZNF775	289	367	169	228	457	295	475	380	279	260
ZNF605	0	0	0	0	0	0	0	0	0	0
TRAPPC2	1226	1273	1021	1025	1511	1208	1211	1276	1249	927
RFX8	700	838	251	1757	1277	490	884	563	1875	422
MYL6B	1	1	1	1	0	0	1	0	1	0
ZNF799	0	0	0	0	0	0	0	0	0	0
FGF16	11	3	12	5	2	9	12	10	0	3
SIAH1	1061	789	538	2571	1623	1113	1058	1014	2283	1232
AC111000.1	0	0	0	0	0	0	0	0	0	0
GK2	0	0	0	0	0	0	0	0	0	0
C20orf96	813	835	545	224	1039	921	906	541	256	291
ESRRG	510	713	499	63	459	839	637	391	94	193
IPO4	28	38	18	25	30	24	21	37	21	32
NCOR2	2109	2644	1869	3158	2759	3219	3356	2929	3429	2262
SULT1A1	946	1533	1582	321	1644	942	1253	1715	432	578
ARL9	12	50	37	33	54	36	45	32	30	80
PRPF40A	5719	7546	5842	7427	7055	7903	7378	7252	8232	6288
GDAP2	1871	1806	1579	1848	1587	2131	1916	2421	2268	1437
TCEAL3	1415	1869	1233	1953	2083	1769	2141	1496	2040	1737
ANAPC7	762	823	584	758	969	593	759	632	754	851
TPK1	1454	1548	1370	1306	1394	1822	1801	2154	1673	1186
SLC6A9	784	674	532	230	696	465	427	592	279	318
AFAP1	1046	878	751	1597	1581	1097	1292	941	1854	1232
NACA	12248	14689	11775	12730	14217	18338	16175	14113	14030	11604
OR9K1P	0	0	0	0	0	0	0	0	0	0
MYO18A	1306	1285	726	1501	1598	1502	1456	1150	1444	1313
OR2T3	0	0	0	0	0	0	0	0	0	3
SPTSSB	18	23	11	11	32	31	13	27	17	12
BORCS6	209	388	185	148	401	299	319	274	247	194
MAN2A2	360	348	287	202	425	384	410	363	259	245
MME	2852	1536	1323	2883	1063	2653	2080	2259	3231	1081
FAM72A	81	206	116	88	159	124	139	152	65	98
CCDC196	0	0	0	0	0	0	0	0	0	0
CACNA1H	78	98	27	144	165	156	109	58	108	72
SULF2	1855	2317	999	1046	3355	1683	2869	1597	1348	1594
AL096700.1	2	4	2	3	4	3	4	3	9	2
HBG2	494	479	331	240	572	496	596	458	371	629
AL138767.1	1	1	1	0	0	1	1	1	1	2
LAMA2	5174	8521	3424	1226	8653	6575	8341	3694	1444	1939
PFN3	0	0	0	0	0	0	2	0	0	0
PLXNB2	5170	3668	3617	3438	7363	6139	3901	4521	4385	4150
OR5AC2	0	0	0	0	0	0	0	0	0	0
AJAP1	36	21	24	247	22	39	21	31	245	74
XRCC2	109	146	99	40	121	90	102	117	50	43
MYO6	8575	7158	8513	11553	7383	13652	8982	10889	12080	8025
MRTFA	2792	2617	2027	5458	3447	3609	3503	3206	5639	3098
MBD3L2B	0	0	0	0	0	2	0	0	0	0
HDAC2	4314	4818	3389	4624	4158	5322	4339	4434	5181	2856
ANKRD20A19P	4	1	3	3	3	3	8	2	2	5
ZNF782	950	807	659	887	1052	920	1081	907	1117	783
SLC22A25	0	0	0	0	0	0	0	0	0	0
POTEF	91	118	80	106	93	96	101	121	94	99
ZNF846,ZNF846	492	390	276	380	747	445	450	446	432	403
HLA-DQB2	0	0	0	0	0	0	0	0	0	0
MMP1	0	0	0	0	0	0	0	0	0	0
ADH1B	11597	20184	5682	522	17193	10073	12588	6403	515	1326
UGT2B15	23	25	28	13	16	16	26	35	17	15
TCF4	21806	26590	12793	53433	22570	22649	24196	20140	43948	20251
WNK3	304	344	248	440	274	255	267	235	402	322
LUADT1	0	0	0	0	0	0	0	0	0	0
SDHAF3	741	1128	771	403	968	837	886	1080	584	636
HRH1	2105	1959	1297	2616	3417	2133	1966	1981	3133	3167
RABL6	809	1297	805	773	1016	1069	1028	1252	908	842
ZNF136	665	601	449	724	775	672	860	650	899	684
ZKSCAN5	612	674	456	654	688	607	515	651	721	540
ZNF502	323	341	251	266	449	218	226	306	299	293
TRAPPC4	1662	2227	1639	2072	2485	2206	2144	2434	2741	2740
AC004057.1	0	0	0	0	0	0	0	0	0	0
TTC30B	285	411	256	82	257	199	217	199	131	198
SLC30A10	193	242	170	180	213	275	237	233	183	165
TECPR2	915	943	763	789	1306	798	839	1077	1135	959
TLR7	68	82	47	18	51	89	29	44	13	97
FAM180B	5	0	13	0	11	4	17	0	2	3
LINC00173	24	16	11	8	44	27	57	20	5	13
ZFP62	661	488	346	452	652	581	318	591	531	378
ERI2	381	345	251	122	303	297	299	290	176	185
TOMM7	1605	2845	1883	1327	2336	2529	2497	2365	1623	2123
HSH2D	227	265	217	175	329	360	380	432	297	1133
TRPV1	0	0	0	0	0	0	0	0	0	0
ZNF33B	1238	1412	1138	492	1056	1205	1039	1249	538	742
PDXDC2P-NPIPB14P	655	539	365	863	601	614	726	448	887	585
ZNF512B	119	247	105	129	153	175	187	160	183	116
AMZ2	2895	3342	2247	2027	3631	3161	3060	2760	2292	2108
ZNF431	779	943	705	875	1014	847	881	983	1299	718
ALKAL1	38	43	26	21	56	94	59	19	15	38
NF1	10799	10890	8357	13647	9720	12810	12238	11354	13820	8444
VKORC1L1	1583	1777	1841	1433	2043	1655	1429	2404	1858	1260
ZNF418	175	78	86	142	290	116	71	112	138	107
DAPK1	3462	3270	4542	2876	4090	4134	3010	5542	3549	2800
LCE1B	1	2	4	6	5	6	8	6	7	6
HLA-DQA1	1327	1902	505	5859	1500	2386	3214	1168	6125	4322
COL27A1	2573	2749	1627	4311	3068	2971	4558	2700	4501	3265
LINC01560	116	87	70	98	172	129	126	103	95	76
GM2A	876	1420	637	381	1627	1230	1724	986	552	1217
HIST1H2AI	1	6	2	0	1	2	2	2	3	5
CLPSL2	0	2	0	5	1	0	0	0	0	1
S100A2	1320	2493	1070	1246	1729	2957	2184	1096	1178	1662
SNHG17	856	925	599	1426	1272	1145	1067	1057	1495	1013
ZNF700	0	0	0	0	0	0	0	0	0	0
AC079612.1	0	0	0	0	0	2	0	2	2	2
POU3F4	0	0	0	1	0	0	0	0	0	0
OR14A16	0	0	0	0	0	0	0	0	0	0
CD47	11262	10046	13084	9604	10326	14052	11780	19399	13623	15529
OR52K1	2	0	0	0	2	1	1	6	0	2
TLE1	716	892	550	1146	1254	988	1150	765	1159	1031
MAML3	10881	11112	6552	10661	9219	8556	10238	9293	11115	5722
HIST1H2AG	30	27	19	21	19	13	27	10	9	12
STRN3	2815	2593	2573	3357	2403	4318	4564	3259	3326	2478
ZNF239	161	221	151	50	158	139	126	118	58	78
NPIPB10P	400	295	196	440	609	338	398	292	491	464
SPINK14	5	4	3	1	0	0	2	6	0	0
SPRR2B	1	0	2	20	2	2	0	3	24	8
CTBP1-DT	230	358	324	196	372	194	225	340	206	225
CHRNG	4	4	12	2	7	11	2	8	2	5
ZSCAN16	0	0	0	0	0	0	0	0	0	0
MVB12B	842	1006	976	722	1505	960	997	1220	1059	1144
C6orf106	2572	2845	2569	3325	3043	4221	3490	3561	3850	2793
AC008758.1	47	53	15	42	54	44	53	35	27	42
OR11G2	0	0	1	0	0	0	0	0	0	0
POTEI	170	202	135	204	181	193	159	199	183	151
ADA	176	203	101	532	339	150	252	233	499	375
ARID5A	3071	2426	2279	10008	4337	4831	4493	4136	10169	8493
PATE2	0	4	2	0	0	8	2	8	4	4
PPTC7	1122	1400	1101	3768	1680	2408	2723	1642	3178	2126
KRT39	0	0	0	0	0	0	0	0	0	0
TOMM20L	2	0	0	0	6	3	0	0	0	4
RGPD4	1957	2068	1780	3602	1719	3180	3097	2335	3041	1713
NHLRC2	2056	2244	1604	2373	2031	2337	2315	2266	2417	1566
HIST1H2AD	3	2	5	0	4	26	9	1	3	2
ZFP28	40	42	46	45	80	50	47	44	61	78
KIAA1211L	403	492	493	168	473	639	580	504	168	397
CBWD3,CBWD3	6973	7285	6623	13220	7436	7688	8468	9077	13647	7475
SCN8A	120	118	54	108	90	147	82	90	146	78
LAMB3	9099	7388	11111	32248	11841	14958	7276	17982	38412	18447
HIST3H2BB	83	7	51	7	47	83	82	33	26	26
AC090286.1	0	0	0	0	0	0	0	0	0	0
TEX43	0	1	3	3	4	5	3	2	1	3
KPNA5	1060	1474	1096	1067	1504	1398	1486	1232	1253	1310
ANKRD36B	4520	7112	4090	5304	5523	4882	5898	5632	5564	3105
ARHGEF12	6185	7195	5435	8941	6139	10412	9698	7576	8774	5399
HCAR1	8	8	13	4	11	12	5	3	1	13
ZNF252P	1125	931	633	515	1244	924	599	822	525	679
PDLIM7	3024	3877	2007	4591	4854	2672	3042	2624	4591	1994
FLNA	19608	17145	9574	11365	20715	15792	12088	13458	13110	10102
TMEM26	133	165	122	95	154	205	69	161	100	52
RPS26P11	595	1567	396	253	427	826	1436	490	266	234
SRGAP1	5760	4805	2087	9939	6517	4623	4699	3485	10140	5525
FAM3C	1540	2585	1610	4268	2821	2412	2243	3047	4289	3231
NOP9	134	131	88	78	178	111	112	114	79	94
OR2T4	0	0	0	0	0	0	0	0	0	0
ZNF705A	15	26	14	14	11	51	24	28	30	25
SLC39A10	2659	2603	1349	1286	1777	2153	1808	1804	2875	1704
SCOC-AS1	0	0	0	0	0	0	0	0	0	0
CASP4	5349	4114	4059	5609	4607	6098	5475	6057	8197	8525
AP2A1	1593	1723	939	1427	1950	1571	1767	1354	1999	1731
ZNF585A	0	0	0	0	0	0	0	0	0	0
FUT11	3634	4088	2610	3956	3467	4271	4510	3835	3856	2834
NXF4	1	0	0	2	1	8	4	3	3	1
SMIM10L2B	0	0	0	0	0	0	0	0	0	0
ANXA4	2913	3423	2764	1739	4063	3379	3225	3651	2366	2863
LAGE3	538	1058	668	524	997	825	739	973	539	651
GPRACR	4	4	0	3	6	0	0	5	4	7
WDR5B	511	437	344	229	441	358	346	467	273	256
FAM163B	1	5	9	2	26	2	5	21	10	9
NPIPB9	651	508	306	732	893	643	672	513	848	685
WDR45	34	35	22	43	63	43	41	37	50	93
METTL9	2458	3627	2114	5065	4646	4218	3821	4160	5596	4311
ZNF138	532	505	346	215	583	487	564	418	244	324
ZNF429	998	1237	1044	710	1618	769	1228	1187	1154	893
ZNF470	752	733	404	1191	746	633	712	697	1161	650
SERTAD1	935	1376	858	2581	1541	1466	1499	1207	2103	1959
ZNF100	617	739	508	204	664	616	886	557	353	423
CXorf40B	975	1118	907	1263	1288	1494	1257	1263	1226	1182
OR51A6P	0	0	0	0	0	0	0	0	0	0
ZNF398	571	598	536	456	702	694	551	776	578	561
ZSCAN25	756	576	452	658	828	542	537	594	747	556
RBMY1A3P	2	0	2	3	2	0	1	2	3	4
ANXA6	6302	5929	3287	4177	8121	5030	5977	4284	4531	3868
ZNF441	679	495	351	439	677	467	536	435	546	480
GMFB	3391	3343	2568	2863	2943	3023	2227	3138	3116	2104
SIGLEC15	55	55	31	62	41	78	15	35	39	38
ZNF420	268	277	177	178	324	327	372	224	299	154
ZNF763	24	36	28	35	55	31	32	28	39	25
ZMYM1	884	932	799	691	798	835	937	874	780	664
DTHD1	330	419	236	131	194	381	519	142	127	234
HIST1H4C	0	0	0	0	0	0	0	0	0	0
ZSCAN26	1	0	1	0	0	0	1	0	0	0
MAFG	178	375	179	549	253	392	431	372	515	349
OR2T32P	0	0	0	0	0	0	0	0	0	0
ARRDC1	1268	1931	1453	1608	2081	1710	1475	1750	1849	2126
KIAA1671	2270	2232	1455	1723	2671	2117	2504	2058	1722	1448
KRT35	1	0	0	0	0	2	0	0	0	4
IGF2R	3170	3591	2759	6146	3908	4902	5165	4727	6214	4197
ZNF300P1	252	188	113	308	124	152	255	141	290	80
LCE1C	0	0	0	0	0	0	0	0	0	0
NPSR1-AS1	44	33	43	44	58	126	78	65	83	62
GOLGA6L16P	10	8	4	7	6	11	4	5	2	8
GAL3ST4	200	189	115	55	213	128	155	74	50	31
AC068631.1	44	77	74	59	65	86	70	93	82	57
DYNC1H1	8696	8516	5688	9022	7820	10163	8987	8830	10835	8467
SLC6A17	5	5	3	0	2	19	3	2	1	10
IFNL3	0	0	0	13	0	5	16	8	6	21
PCBP2	2202	3140	2202	3043	3074	3552	3708	3041	3427	2458
ZGPAT	198	246	168	329	319	235	205	241	345	231
SLC25A29	398	470	674	602	401	810	862	822	579	519
PGAP1	1290	1121	1227	1227	1406	1835	1968	1396	1475	1499
SRC	434	496	329	1809	757	777	501	662	2011	1148
ZNF679	0	0	0	0	0	0	0	0	0	0
ZNF682	227	262	268	168	356	213	278	325	281	192
OR8B8	0	0	0	0	0	0	0	0	0	0
ZNF772	0	0	0	0	0	0	0	0	0	0
ZNF257	65	133	79	99	86	76	127	108	124	47
PCNX3	0	0	0	0	0	0	0	0	0	0
ADAM32	584	461	293	839	610	614	572	413	526	404
ACSL5	487	461	385	1182	443	444	514	649	1353	803
LRRC8B	352	440	305	660	401	523	859	453	597	487
AC107956.1	0	0	0	0	0	0	0	0	0	0
ABCB8	795	1008	611	406	996	720	654	854	549	763
HIST1H3J	17	17	4	10	22	6	6	30	10	23
SND1	20712	15802	14276	23487	18396	21709	19492	18365	24459	15976
OR4C4P	4	5	3	11	7	10	8	9	12	1
ZNF785	14	30	27	34	55	19	46	23	45	40
SULT1A2	320	363	322	136	494	382	286	339	183	221
NEK5	529	597	407	232	552	544	494	394	356	427
PSMD12	6536	6359	4649	7910	6400	7467	6495	6366	9375	6820
AL672167.1	0	0	0	0	0	0	0	0	0	0
MAGEA6	0	0	0	0	0	0	0	0	0	0
LINC02291	0	6	4	11	0	14	2	3	6	2
ADGRA1	0	10	14	4	13	26	12	6	5	1
CH17-340M24.3	205	257	237	67	245	279	182	235	82	89
PIWIL2	274	200	141	203	323	417	298	274	246	305
MIRLET7BHG	855	806	508	574	954	752	778	769	765	660
NOL4L	4009	2332	1416	6793	3984	3076	2480	2666	6112	2322
SSXP1	0	0	0	1	1	2	0	1	0	0
CYSRT1	29	54	26	18	10	22	10	32	18	7
SLC22A4	95	92	117	211	196	193	142	137	245	149
AP000550.1	3	3	1	0	3	8	3	1	2	1
ZSCAN5B	16	16	4	26	27	18	10	7	36	17
TCEA1P1	0	0	0	0	0	0	0	0	0	0
ENTPD4	2860	2170	1514	3429	2560	2612	2225	2498	3884	2554
C1D	298	1490	1421	896	761	434	1408	1662	1240	632
TBC1D9B	3621	4467	2718	4377	6145	3608	4192	3979	5121	4784
OR1J2	0	0	2	0	0	2	0	0	2	0
HIST1H4J	24	57	32	23	37	53	74	27	14	22
SLC2A7	8	2	5	6	33	9	18	10	6	17
FAM110D	18	30	5	0	53	17	41	28	2	19
SERPINA1	49084	41702	71227	26920	37658	75192	43028	87542	33691	38032
LINC00336	2	14	7	3	11	2	12	11	3	6
TPSB2	7786	17832	4926	7460	30686	6401	12927	6418	8673	16762
AP000445.1	0	0	0	0	0	0	0	0	0	0
KANK2	5396	5437	3438	2680	8352	3554	3802	3352	2882	2322
EIF4BP6	0	0	0	0	0	0	0	0	0	0
C6orf141	302	287	215	269	356	367	339	285	271	272
GTF2E2	937	1204	1026	1180	1099	1534	1418	1603	1381	1268
IL27	14	24	17	73	23	94	144	111	208	391
GUCA2A	0	0	0	3	10	16	3	0	8	3
RAD54B	79	105	58	19	68	80	67	60	22	40
ZNF165	888	670	792	594	374	826	585	926	845	537
SYNGAP1	29	31	24	50	38	64	38	22	50	26
RAMP2-AS1	57	32	25	33	55	54	52	23	22	20
FITM2	623	517	377	324	708	502	292	440	353	249
BLM	218	254	163	106	187	236	223	236	133	149
AC090673.1	0	0	0	0	0	0	0	0	0	0
ZNF720	1378	1392	966	1387	1475	1600	1444	1360	1712	1343
GATA3-AS1	0	0	0	0	0	1	0	0	0	0
OR10D3	0	0	0	0	0	1	0	0	0	0
DDI2	2388	2424	1835	2885	2612	3189	3128	2664	2832	2051
AC060834.1	6	10	3	111	29	10	8	10	93	28
SVIL	8066	7806	5469	16774	8718	7856	9262	7522	16966	10751
C17orf102	0	0	0	0	0	3	1	2	1	14
TRIM33	2485	2866	2192	4441	2784	3833	4247	3287	4338	2814
LRP10	2358	3643	2780	3768	3984	3489	2948	5175	4893	4763
PELI1	6084	3885	3607	24839	4987	7237	7712	5833	22820	7694
AC008543.1	687	977	664	813	862	709	770	853	876	602
RF00017	0	0	0	0	0	0	0	0	0	0
ZNF655	17	3	8	11	11	5	8	9	13	17
MRPL21	1481	2386	1839	997	1447	2190	1984	2046	1173	1067
LYPD2	3	0	0	0	0	3	0	0	0	1
UAP1L1	215	294	151	249	465	489	397	214	227	257
BNIP3P1	2578	2289	1958	2542	2375	2599	2027	2336	2451	2159
ZNF98	207	188	91	87	187	196	281	101	100	105
FBXL22	1	6	2	5	7	3	4	1	2	6
ZNF786	383	370	212	188	613	280	250	312	256	315
ZNF517	35	71	36	48	76	66	50	37	35	75
S100A7L2	0	0	0	2	0	1	1	0	2	0
ZNF675	472	449	404	331	470	608	659	548	382	290
SLC22A5	462	482	538	411	671	759	627	559	423	484
AC089987.1	5	11	7	12	5	13	12	9	9	19
DACT3	122	170	47	193	147	170	143	73	184	55
ADARB1	1611	2311	1416	2399	2141	2174	3027	2143	2439	1974
ZNF860	0	0	0	0	0	0	0	0	0	0
HTT	2194	2496	2021	2562	2285	3394	3362	2657	2731	1960
OR6N1	0	0	1	0	0	0	0	0	0	0
C5AR1	561	836	672	342	606	781	476	676	452	478
DIO3	77	89	37	64	49	109	94	55	7	8
CYP2B6	95	60	98	217	164	157	97	126	205	122
HIST1H3D	26	22	14	18	22	61	49	11	16	23
DCHS2	82	85	56	361	303	168	134	75	422	278
VEPH1	955	806	715	237	704	835	618	838	300	453
FABP12	0	0	0	0	0	0	0	0	0	0
SHPK	0	1	2	1	1	3	1	0	0	0
GGT3P	861	665	413	796	1226	970	624	497	972	1050
OR51D1	0	0	0	0	0	0	0	0	0	0
IPP	563	652	537	219	742	539	583	663	369	435
OPALIN	1	3	0	2	0	6	3	0	4	0
OR13G1	0	0	0	0	0	0	0	0	0	0
MAP3K5	2974	3674	2964	7158	3907	4347	5047	4662	7697	4954
OGDHL	2	1	2	2	16	8	5	0	3	4
CYP2F1	25	9	30	10	24	52	19	33	21	25
GSTK1	28	8	7	18	1	36	33	26	14	4
HNRNPAB	155	272	145	298	279	210	243	262	275	254
OR2L5	0	0	0	0	0	0	0	0	0	0
STMN3	456	661	239	257	1008	534	800	334	366	470
PDGFA	1446	1550	844	4366	2960	2125	1658	1427	3318	3127
AC003975.1	6	0	0	1	5	9	3	6	3	4
GYPE	127	104	143	102	179	183	125	240	123	115
COL13A1	860	1035	677	896	2006	905	1732	1009	922	465
AC073648.1	4	0	0	0	0	2	0	0	0	0
SPN	0	1	2	0	0	0	0	1	0	0
ZNF695	0	0	0	0	0	0	0	0	0	0
ADAM3A	3	6	5	5	3	27	5	11	4	3
AC034105.1	22	5	2	6	26	7	9	3	12	18
PCDHB11	0	0	0	0	0	0	0	0	0	0
ZNF628	20	38	25	21	32	26	26	34	36	18
GALP	2	1	2	3	3	4	1	3	2	4
SLC2A10	1031	1125	764	354	1464	885	1008	784	480	864
ZNF665	176	219	188	204	327	196	245	223	165	190
RPF2	2207	2827	2008	2471	2558	2862	2564	2401	2794	1936
LINC00477	4	5	4	5	7	9	2	1	2	3
SLC28A3	57	39	28	49	185	78	39	43	49	245
FAM177B	556	653	853	3059	913	904	1175	1516	3786	3359
MIB2	229	529	322	569	584	499	501	576	636	638
OR6Y1	0	0	0	0	0	0	0	0	0	0
MYO5A	1470	2078	1360	967	1970	1595	1789	1565	1140	970
C5orf56	2830	2346	1850	10592	3087	4099	4990	4132	11596	9217
GZMM	59	139	92	63	136	71	144	191	84	94
ATG7	6684	6331	4523	14711	7433	6373	6451	7136	15920	6793
PRAMENP	15	15	8	6	17	12	12	11	10	16
AL359955.1	80	178	67	62	336	69	194	70	65	147
SIPA1L1	4621	4722	4209	6709	5110	5643	5695	6700	7599	6416
TTC30A	20	12	8	2	8	5	6	9	14	5
SSPO	19	72	25	31	32	43	66	47	30	28
ELANE	406	226	185	4	160	498	537	162	10	42
RAB40C	1805	1816	2285	1656	1536	3012	2305	2963	1859	1291
PIGN	2778	2617	1846	1649	2348	2719	2240	2703	2050	1771
COL4A6	119	116	60	105	158	198	105	107	74	82
ZNF624	318	285	130	146	226	269	180	249	211	135
HHLA3	213	284	168	76	283	188	249	255	99	186
RPS17P2	8	17	14	9	12	14	17	15	7	10
