Gene	GSM5073707_neg_1	GSM5073708_neg_2	GSM5073709_neg_3	GSM5073711_neg_5	GSM5073714_pos_3	GSM5073719_pos_8	GSM5073720_pos_9	GSM5073722_pos_11	GSM5073724_pos_13	GSM5073729_pos_18	GSM5073730_pos_19	GSM5073732_pos_21	GSM5073734_pos_23	GSM5073738_pos_27	GSM5073739_pos_28	GSM5073744_pos_33
RNA5SP390	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-9P	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP36	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-380P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-37P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNY4P30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP239	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP151	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	4
RN7SKP266	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-257P	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP146	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-30P	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP181	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP26	0	0	0	1	0	0	0	0	1	6	0	0	0	0	0	0
RNA5SP156	1	0	0	0	0	0	1	0	6	6	1	0	0	1	0	19
RNU4-26P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP266	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP407	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP129	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3
RNA5SP56	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP65	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
RNU6-588P	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP129	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-17P	2	1	0	4	0	0	0	0	0	2	0	0	0	0	0	4
RNU6-447P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP158	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-54P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP89	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1
RNA5SP163	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-43P	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP156	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP431	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
MIR1471	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNA5SP201	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-262P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP95	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-101P	0	0	0	0	2	0	0	0	4	3	0	1	0	0	0	0
RN7SKP199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-757P	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3
RNU6-892P	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0
RNA5SP425	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-33P	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
RN7SKP111	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-584P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1043P	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-36P	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
RNU6-1156P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-21P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP371	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-935P	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP198	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP178	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1118P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1050P	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR1912	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-855P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1076P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP225	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-174P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP139	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-613P	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SNORD19C	2	0	0	0	0	0	0	0	15	7	0	0	0	1	0	0
RNA5SP237	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	2
RNY1P15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-29P	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-710P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RNU2-20P	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-355P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1186P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-34P	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
SNORD12B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
SNORA36B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP202	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP127	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP152	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNA5SP44	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP203	2	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNU2-28P	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-554P	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-791P	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP281	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-65P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP80	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP125	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-59P	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP274	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP113	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-50P	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4
RNA5SP338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP231	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-955P	0	0	0	0	0	0	0	0	2	2	1	1	0	1	0	9
RNU6-141P	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1077P	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-994P	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-26P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP56	1	1	5	2	6	0	0	0	4	2	0	0	0	0	0	4
RN7SKP150	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-1140P	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
RN7SKP143	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
RN7SKP59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-121P	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP293	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-5P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
RNA5SP261	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-23P	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-77P	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-285P	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA79B	32	39	0	17	13	11	23	50	291	393	156	88	16	79	0	180
RNU6-712P	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP200	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	2
RN7SKP177	1	0	3	0	0	0	0	0	1	4	2	0	0	1	0	21
RNA5SP475	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-25P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP240	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	6
RNA5SP451	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-519P	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
RN7SKP109	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR1468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-705P	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RNU2-39P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP220	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-735P	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP251	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP60	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1064P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-43P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1025P	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
RN7SKP61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNU2-47P	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-66P	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP222	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP494	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP159	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-887P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP235	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
RNU2-49P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-628P	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP504	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-69P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-402P	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-52P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP27	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP254	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-15P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-48P	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-37P	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	2
RNU2-42P	0	1	0	0	0	0	0	0	1	2	0	1	0	1	0	0
RN7SKP131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1203P	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-51P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-16P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-70P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-248P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-8P	5	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-55P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP123	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-394P	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP213	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-1267P	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2
RNA5SP38	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP119	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2
RNU4-72P	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-733P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP120	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP182	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RN7SKP39	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1
RN7SKP89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RN7SKP38	5	0	0	5	0	1	0	0	1	0	0	0	0	0	0	2
MIR1911	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RN7SKP188	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-63P	2	0	0	0	0	0	0	0	3	7	0	0	0	0	0	2
RNU2-7P	1	0	0	0	0	0	0	0	8	10	2	1	0	1	0	13
RNU4-64P	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNY4P29	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-6P	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNA5SP328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP229	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-1190P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP25	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-46P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP206	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-53P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-684P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP106	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-40P	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP121	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-233P	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP212	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP91	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-38P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-14P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-67P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-860P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-83P	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-383P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-62P	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0
RNA5SP225	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-47P	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-68P	0	0	0	0	6	0	0	0	9	1	0	0	0	0	0	1
RNU4-27P	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RN7SKP286	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR1537	0	3	0	0	0	0	0	0	5	2	0	0	0	0	0	3
RNA5SP120	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP100	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP136	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP168	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-321P	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP42	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
RNA5SP21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-920P	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
RN7SKP136	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-1086P	1	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0
RNU6-565P	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1328P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-78P	0	1	0	2	0	0	0	0	3	13	1	0	0	0	0	8
RN7SKP33	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RN7SKP261	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RN7SKP29	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1068P	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RNU6-1133P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP97	0	1	0	0	0	0	0	0	14	14	0	4	0	1	0	10
RNU6-193P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-564P	0	1	0	0	0	0	0	0	3	2	0	0	0	1	0	1
RNA5SP29	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1
RNA5SP104	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
RNA5SP501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-41P	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1148P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP205	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-172P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP284	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SNORD63B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-370P	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP58	0	3	0	0	0	0	0	0	8	11	2	0	0	1	0	36
RN7SKP262	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP41	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP265	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
MIR1913	0	2	0	4	0	0	0	0	1	0	0	0	0	0	0	2
RNU6-272P	0	1	0	0	0	0	0	0	4	5	0	2	0	0	0	2
RN7SKP8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNA5SP222	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-651P	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-25P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
RN7SKP94	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP167	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP216	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP127	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-14P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU5A-5P	2	1	0	0	0	0	0	0	1	6	1	0	0	0	0	0
RN7SKP68	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNU4-22P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
RN7SKP259	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-61P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD29	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP137	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP73	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP264	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP344	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
RNU6-1135P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP306	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-55P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP247	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-284P	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP268	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
RN7SKP144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP161	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-130P	2	0	0	0	0	0	0	0	7	7	2	1	0	1	0	5
RNA5SP369	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-847P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP169	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1245P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-325P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP126	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1
RNA5SP31	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-55P	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP155	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	6
RNU6-602P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RMRPP5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU5E-9P	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
RNU2-72P	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3
MIR1538	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
RNA5SP247	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP296	0	0	1	7	0	0	0	0	1	5	0	0	0	0	0	3
RN7SKP102	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP181	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-32P	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RN7SKP140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP304	2	0	0	0	0	0	0	18	13	25	2	0	0	1	0	87
RN7SKP207	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP450	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
RN7SKP252	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP112	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-88P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-18P	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3
RNY1P3	1	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP280	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP142	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP209	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP17	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-61P	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP39	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-373P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1199P	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-177P	0	1	0	0	0	0	0	0	4	0	0	0	0	2	0	1
RN7SKP100	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-293P	1	0	0	2	0	0	0	0	0	4	0	0	0	0	0	19
RNU6-1001P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-22P	0	2	0	6	0	0	0	0	1	0	0	0	0	1	0	0
RN7SKP297	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2
RNA5SP221	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RNU6-1217P	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RNU4-74P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-607P	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-938P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP192	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD71	1	0	0	0	0	0	1	0	17	8	0	0	0	1	0	8
RNU6-1054P	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
