Gene	NLF_SiC_Un_1_S1_R1_001	NLF_SiC_Un_2_S9_R1_001	NLF_SiC_Un_3_S17_R1_001	NLF_SiH_Un_1_S3_R1_001	NLF_SiH_Un_2_S11_R1_001	NLF_SiH_Un_3_S19_R1_001
OR2A1-AS1	5	14	4	0	3	0
OR2A1	0	5	1	0	0	0
ARHGEF5	18	49	22	3	5	2
OR2A5	0	0	0	0	0	0
OR2A12	0	0	0	0	0	0
OR2A15P	0	0	0	0	0	0
OR2A14	0	0	0	0	0	0
OR2A13P	1	0	0	0	0	0
RBM33-DT	5	21	4	6	12	6
RBM33	760	1430	608	1101	532	585
SHH	8	1	36	27	6	30
LINC00244	0	1	0	0	0	0
RPL26P23	1	1	3	2	0	0
RNF32	2	15	10	13	15	8
RNF32-AS1	1	1	0	5	3	1
LMBR1	1339	1571	691	1275	769	738
NOM1	354	461	336	313	283	332
MNX1	0	2	0	0	0	0
MNX1-AS2	0	0	0	0	0	0
MNX1-AS1	0	0	0	0	0	0
RPS27AP12	0	0	0	0	1	0
LOC389602	6	5	6	11	10	11
GCK	11	34	5	2	1	0
EZH2	149	144	69	158	94	64
RNU7-20P	0	0	0	0	0	0
Metazoa_SRP	0	0	0	0	0	0
RNY4	0	1	0	0	0	0
RNY3	0	0	0	0	1	0
RNY1	0	4	3	1	0	1
GHET1	1	4	0	2	0	4
KCNH2	19	22	9	1	2	1
CCDC146	84	117	52	79	31	15
RN7SL377P	0	0	0	0	0	0
RN7SL625P	0	0	0	0	1	0
NSUN5P2	16	26	11	11	7	8
LOC124901671	1	1	2	0	0	0
TRIM74	0	0	0	0	1	0
STAG3L3	0	3	3	3	5	4
PMS2P7	0	3	0	0	0	0
PMS2P8	0	0	0	0	0	0
PMS2P6	0	0	0	0	0	0
PHB1P5	0	2	0	0	0	0
STAG3L2	10	12	1	4	1	4
PMS2P5	10	17	10	4	2	7
PMS2P13	0	0	0	0	0	0
PMS2P10	0	0	0	1	0	0
PMS2P2	2	4	2	1	4	2
ZNF853	171	47	19	50	2	4
ZNF316	259	413	315	346	220	283
ZNF12	592	601	309	980	523	515
PMS2CL	84	99	46	79	32	35
SPDYE20P	0	0	0	0	0	0
ABHD11	77	104	121	59	75	112
MUC3A	0	0	0	0	0	0
TRIM56	1175	2540	762	2005	1807	734
NHP2P2	1	0	0	0	0	0
HOXA1	50	89	29	40	22	22
HOTAIRM1	55	80	34	93	48	98
HOXA2	110	136	59	57	36	30
HOXA-AS2	71	95	39	169	70	56
HOXA4	26	23	23	22	10	16
HOXA-AS3	14	13	7	20	19	36
HOXA5	574	758	383	1011	648	596
HOXA6	21	15	23	65	21	27
HOXA7	43	96	69	34	22	15
HOXA9	0	2	3	4	1	6
HOXA10-AS	0	1	0	0	0	0
HOXA11	2	0	6	6	3	16
HOXA11-AS	0	0	2	2	0	0
HOXA13	0	0	0	0	0	0
GTF2IP4	438	711	180	105	56	35
NCF1B	0	0	0	0	0	0
GTF2IRD2P1	2	6	4	3	3	1
POM121B	3	7	1	0	2	2
NSUN5	105	166	115	81	99	78
TRIM50	0	0	0	0	0	0
HNRNPA1P8	0	2	0	1	1	2
HSPA8P16	0	0	1	0	2	1
SEMA3D	695	959	352	193	405	318
GTF2I-AS1	1	11	2	1	1	2
CASTOR2	343	515	323	422	142	252
RCC1L	176	328	276	205	199	206
Metazoa_SRP	0	0	0	0	0	0
FZD9	4	4	9	7	10	7
SPDYE19P	0	0	0	0	0	0
RBAK	350	345	159	571	247	294
ABCB5	0	0	0	0	1	0
ATP6V0E2	140	436	182	65	63	35
TAX1BP1	2353	3030	1844	2414	2131	2755
GRM3	0	0	0	0	0	0
DTX2	76	142	81	54	59	53
TNPO3	926	1222	675	1015	819	841
H2BK1	0	0	1	0	0	0
TNRC18	2311	2346	1624	3065	1379	1886
MUC12	9	15	6	5	1	8
ZCWPW1	7	15	14	51	29	17
TCAF2	41	55	31	99	49	65
UMAD1	211	263	180	78	33	42
SLC13A4	9	24	6	36	29	30
SPAM1	0	0	0	0	0	0
HOXA3	195	239	97	289	106	119
AMZ1	42	7	70	14	5	17
ZNF736	92	114	59	66	16	41
YWHAEP1	13	8	7	6	13	17
HNRNPCP7	2	7	1	1	1	0
ZNF680	76	95	74	186	58	134
BNIP3P42	0	0	0	0	0	0
BNIP3P11	2	5	2	3	0	0
VN1R42P	0	0	0	0	0	0
REPIN1	582	871	664	686	488	547
ZNF775	51	66	35	45	24	20
ZNF775-AS1	2	1	0	3	1	0
GIMAP8	0	0	0	0	0	0
ACTR3C	3	1	0	3	0	1
PPP1R17	0	0	0	0	0	0
MTDHP1	0	0	0	0	0	0
ERV3-1	85	188	38	193	130	34
CCT6P3	24	40	16	28	6	7
SNORA22C	0	1	0	0	0	0
SNORA15B-1	0	0	0	0	0	0
GTF2IP14	0	7	0	0	1	1
LOC100419774	0	0	0	0	0	0
SEPTIN7P3	0	1	0	0	0	1
PPP1R14BP4	0	0	0	0	0	0
ZNF273	32	86	24	18	29	12
RPS2P32	0	8	10	2	2	11
Y_RNA	0	1	0	0	0	1
TRA2A	831	1431	621	881	822	772
LOC442517	4	2	0	0	1	0
CLK2P1	10	23	10	14	8	10
CCDC126	162	107	96	90	42	113
FCF1P1	6	2	0	3	2	3
FAM221A	9	38	15	6	2	1
RASA4	10	2	5	7	0	2
CYP51A1	17	34	38	24	31	73
ARHGEF35	3	23	0	1	7	0
KRIT1	139	236	67	167	117	116
POM121	190	247	194	349	207	231
BAZ1B	2258	3155	1619	2486	1765	1825
BCL7B	179	321	261	341	624	446
MLXIPL	0	1	3	1	0	0
GTF2IRD1	258	509	254	303	212	125
NCF1C	0	0	0	0	0	0
GTF2IP1	40	35	191	114	5	7
POM121C	193	298	193	371	222	282
HIP1	1262	2166	1011	432	198	171
CCL26	5	6	5	9	8	22
CCL24	1	0	0	0	0	0
RHBDD2	601	1070	945	857	829	898
RPL7L1P3	0	0	0	0	0	0
SNORA14A	0	0	0	1	1	1
TMEM120A	232	436	440	235	235	346
STYXL1	160	218	272	353	291	483
MDH2	1864	2732	2593	1859	2273	2200
MRPS24	8	20	42	12	9	34
URGCP	251	541	329	351	471	550
TUBG1P	3	12	19	10	10	20
UBE2D4	117	222	149	69	63	59
POLR2J4	4	5	3	19	8	8
UPK3BL3P	3	1	1	0	0	1
SPDYE14	0	0	0	0	0	0
UPK3B	0	2	1	1	0	2
LINC03009	15	48	22	23	16	8
POMZP3	29	67	59	24	23	45
ZNF107	66	228	65	84	148	50
LINC00525	2	0	0	1	0	0
PKD1L1-AS1	58	37	81	0	1	0
HUS1	266	396	283	249	235	292
C7orf57	3	0	3	0	0	1
PKD1L1	42	37	42	1	2	2
NCF1	0	0	1	0	0	0
CLCN1	0	0	0	1	0	0
EIF3B	1940	2886	2287	3381	3436	3949
MIR4648	0	0	0	1	0	0
BRAT1	165	319	234	300	243	244
VGF	11	4	18	20	7	9
THSD7A	2	77	3	8	94	12
ASB15	0	1	0	0	0	0
SP8	0	0	0	0	0	0
ZNF800	495	539	289	385	320	308
DOCK4	620	1130	325	1395	1482	727
ZSCAN21	70	92	48	33	39	46
FASTK	555	890	803	784	936	960
PAX4	0	0	0	0	1	0
TYW1	239	253	153	177	195	152
FBXL18	266	421	387	170	109	203
CHN2	4	0	1	1	0	0
CUL1	1338	1443	1077	1598	1334	1539
SEPTIN7	5559	5597	3767	5409	3081	4172
CAPZA2	3797	3261	3236	2399	1871	2886
CYP3A43	0	1	0	1	0	0
TPK1	50	103	53	56	51	74
SDK1	31	1	10	52	19	11
BZW2	692	673	628	948	635	814
NUP42	140	220	138	101	59	69
AVL9	1677	2070	1183	808	485	591
LFNG	156	25	31	122	7	30
ZMIZ2	610	846	561	869	512	514
CYP3A4	0	0	0	2	1	0
TBL2	442	524	402	940	812	628
ZNF117	272	315	102	661	150	111
DLD	1207	1474	1007	967	916	1060
SUN3	2	1	0	0	0	0
CCDC71L	788	819	543	799	547	840
GTF2IRD2B	85	99	52	53	24	30
KBTBD2	1153	1286	678	1174	903	840
VWDE	1	6	2	1	8	0
OGDH	911	1552	1033	706	884	936
NRCAM	17	35	7	103	187	93
FOXP2	101	166	19	305	220	84
TOMM7	1669	1911	2533	2074	1634	3318
ESYT2	3416	3941	2070	4095	2511	2728
PHKG1	11	33	12	6	8	5
GPER1	59	209	156	14	26	29
HOXA10	4	16	21	0	1	1
TMEM178B	87	226	305	14	7	30
CADPS2	356	492	130	941	680	346
DNAH11	4	29	28	21	22	17
CREB3L2	2279	2990	1118	5084	4026	2808
CNPY1	0	0	0	0	0	0
WIPF3	0	1	0	0	1	0
C7orf25	3	1	3	1	2	0
RUNDC3B	10	18	10	2	3	13
CNOT4	584	700	367	613	422	379
KRBA1	81	131	132	114	38	77
MGAM2	0	0	0	4	1	0
AHCYL2	431	716	353	381	420	230
USP42	264	238	115	322	257	156
PILRB	9	111	36	27	62	39
ELN	3436	4857	1350	867	2315	553
SPDYE3	2	4	0	1	0	0
SRPK2	1083	1272	658	1180	1001	903
RPL36P12	2	1	1	3	0	1
RWDD4P1	2	2	1	2	4	6
SPDYE2B	0	0	0	0	0	0
SPDYE5	0	3	0	1	1	5
SPDYE13	0	0	1	0	0	0
SPDYE16	0	0	0	1	0	0
SPDYE17	0	0	0	0	0	0
SPDYE18	2	5	2	6	5	4
SPDYE1	3	6	1	1	0	0
TAF6	502	655	460	338	201	280
LOC442497	0	4	0	0	1	0
PRKAR1B-AS2	0	2	0	0	0	0
PRR15	0	0	0	1	0	0
ZNRF2P2	5	4	3	7	4	3
DPY19L2P3	10	20	7	8	12	9
S100A11P2	0	0	0	0	0	0
TBX20	2	0	0	0	0	0
GTF2I	1376	1063	548	388	220	158
GTF2IRD2	9	16	1	1	2	2
ATG9B	0	0	0	1	0	1
GBX1	1	1	0	0	0	0
FOXL3	0	0	0	0	0	0
SEM1	683	948	902	889	943	1406
DPY19L1	1278	1085	807	2049	1230	1646
MIR548N	0	0	0	0	0	0
WNT2	31	62	16	8	4	1
ASZ1	0	0	0	0	0	0
CTTNBP2	171	1835	163	119	314	83
CHPF2	1358	2193	1408	2505	3254	2503
ORAI2	947	1202	1253	1024	717	1147
HDAC9	308	292	339	268	105	243
SPDYE10	0	0	0	0	0	0
STEAP1	132	221	240	255	247	246
STEAP2	460	581	376	552	122	136
NPM1P12	3	4	4	5	1	4
LOC101928733	1	0	0	0	0	0
ZNF777	177	218	213	175	152	184
ZNF746	205	369	243	481	706	641
GARIN1B	0	4	1	0	0	0
PDK4-AS1	0	20	2	11	14	7
PDK4	105	7367	1852	1418	3439	4179
DYNC1I1	3	48	8	12	37	52
SPDYE6	0	8	5	3	1	0
LAMTOR4	219	332	446	315	359	503
MDFIC	1864	2001	1019	2639	1448	1936
KCP	8	7	15	10	11	10
STRA8	0	0	2	0	0	0
POLR2J	181	309	433	157	147	208
PLXNA4	170	338	36	509	252	65
CTAGE4	0	1	0	0	0	0
LINC01446	0	0	0	0	0	0
LINC03006	8	12	7	6	13	7
LOC124901789	3	0	0	0	0	2
GIRGL	1	5	2	0	11	0
DLX6-AS1	0	3	0	0	0	0
GTF2IP13	2	18	4	14	14	8
DMTF1-AS1	4	12	1	3	6	1
LOC107986742	4	6	0	11	3	3
LOC124906608	1	1	2	12	3	7
GDI2P1	0	0	0	0	0	0
CDC14C	10	6	0	1	2	8
MAFK	263	579	366	229	335	325
TMEM184A	2	16	16	4	4	0
PSMG3	128	217	229	175	303	278
ELFN1	14	108	204	14	32	111
RNU6-1136P	0	0	0	0	0	0
RN7SKP198	0	0	0	0	0	0
LRRC17	3526	2213	2154	3184	1547	1289
FAM185A	24	59	26	21	25	25
FBXL13	8	23	9	5	6	7
NYAP1	37	38	24	7	1	1
RN7SL416P	0	0	0	0	0	0
AGFG2	123	180	143	49	28	22
IRS3P	3	0	0	2	0	0
SAP25	0	0	0	0	0	0
LRCH4	173	199	154	350	103	137
FBXO24	2	1	2	12	0	3
FAM237B	2	2	0	1	4	0
ARPC1A	319	437	290	396	215	362
ARPC1B	29	60	46	37	52	54
PDAP1	1328	1999	1738	1404	1588	1841
BUD31	630	658	615	615	711	968
PHTF2	1468	1789	1141	1689	1352	2438
MEPCE	84	101	79	96	70	76
SPDYE21	0	0	0	0	0	0
POR	463	821	661	917	1646	1172
TSC22D4	367	676	522	658	613	732
ZBED10P	2	0	3	0	0	0
LINC00996	0	0	0	0	0	0
STAG3L1	6	8	12	8	1	6
TRIM73	0	3	0	1	5	0
GRID2IP	1	0	0	0	0	0
ZDHHC4	361	522	396	467	273	303
INTS15	271	372	311	244	156	230
RAC1	3069	3626	2148	5243	4582	4112
RPL6P20	1	0	0	3	2	0
IL6	196	454	196	1191	2728	1363
UFSP1	2	6	10	11	7	18
COA1	504	608	559	476	292	450
UPP1	152	188	243	136	165	252
FLJ20712	0	0	0	1	0	0
LOC124901612	0	0	0	2	0	0
STRADBP1	10	12	4	5	0	0
BMPER	822	1185	503	1229	941	430
LOC728743	53	84	33	20	13	12
LOC107986821	0	0	0	0	1	0
COL1A2	155914	175305	67039	755915	488265	368872
CASD1	442	442	260	479	188	246
TMEM248	2304	2677	1435	2140	1977	1575
RN7SL43P	0	0	0	0	0	0
JAZF1	951	858	399	584	295	337
RNU6-979P	0	2	0	0	0	0
JAZF1-AS1	2	6	0	1	1	0
SBDS	868	1429	1184	1105	1388	2239
SPDYE2	0	4	0	1	0	0
SPDYE12	4	3	6	0	0	3
KIAA0087	0	1	0	0	0	0
SNX10	0	0	1	0	1	0
SPDYE7P	0	0	0	0	0	2
STARD3NL	858	820	956	862	769	1267
TRGV9	0	0	0	0	0	0
TRGV8	0	8	0	0	0	0
TRGV7	3	5	0	0	1	0
ITPRID1	0	2	0	0	0	0
XRCC2	11	10	5	11	1	8
RNU6-1091P	0	0	0	0	0	0
FIGNL1	143	146	102	88	26	49
DDC	0	0	0	0	0	0
IKZF1	0	0	0	0	0	0
TRBV14	0	0	0	0	0	0
CARD11	0	11	3	1	1	3
TYW1B	57	24	37	77	7	50
WBP1LP2	2	3	2	10	6	5
SLC26A4	4	1	4	18	8	7
CBLL1	727	808	416	473	293	345
SLC26A3	1	1	1	0	2	0
SH2B2	22	27	44	36	9	18
POLD2	514	656	692	565	581	792
LRGUK	1	4	2	12	0	6
SLC35B4	681	599	503	482	153	245
PVRIG	8	10	7	4	2	1
HNRNPA2B1	7046	8312	4188	7815	7284	6262
ZNF786	63	83	65	64	43	34
ZNF425	87	167	78	68	60	44
RN7SL521P	2	0	1	1	0	7
PDIA4	3064	1771	1958	7476	4505	4202
PTN	1376	4409	698	1313	2959	851
PIK3CG	0	0	1	0	0	0
AIMP2	137	142	175	152	237	308
SNORA80D	0	0	1	0	0	0
ANKRD61	3	12	3	16	1	12
CFTR	5	39	4	69	8	13
RN7SL7P	0	0	0	0	1	0
SAMD9	796	2054	747	1399	4487	618
HEPACAM2	0	0	0	0	1	0
SAMD9L	827	4688	548	917	6807	354
H4P1	1	0	0	0	0	0
LOC100133252	0	3	0	0	0	4
LINC00513	7	13	2	8	19	13
MIR29A	0	0	0	0	0	0
RNU6-1010P	0	2	1	0	0	0
RPL27P11	0	0	0	2	0	0
SEMA3E	11	157	11	221	887	141
PMS2	140	219	150	107	116	145
RSPH10B2	0	0	0	1	1	0
ZNF722	0	0	0	0	0	0
PDGFA	171	185	187	30	57	87
RSPH10B	0	1	0	0	0	0
POLR2J3	1	8	0	4	0	1
POLR2J2	0	0	0	0	0	0
CCDC201	0	0	0	2	0	0
BRAF	596	652	422	843	355	460
CT66	0	1	0	0	0	0
AUTS2	208	370	137	180	120	80
EGFR	9467	6940	4028	6418	2595	2783
IRF5	1	9	0	0	1	0
LINC00174	20	69	31	72	34	65
RNF32-DT	42	58	39	39	18	14
NUDCD3	488	737	565	928	799	1046
RPL32P18	37	25	28	50	18	37
CAMK2B	10	5	22	6	3	6
ZNF734P	0	0	0	0	0	0
SLC29A4P2	0	0	0	0	0	0
TNRC18P2	2	1	0	0	0	1
CICP24	0	0	0	0	0	0
LOC112267990	0	0	0	0	0	0
GABPAP	27	23	23	23	21	32
CDK13	1294	1756	932	1237	748	797
KMT2E	2955	2992	1377	1975	986	579
VOPP1-DT	0	3	1	2	2	2
TUBBP6	0	1	0	0	0	0
LOC643348	0	0	1	0	0	0
FKBP9P1	43	95	24	152	197	152
Metazoa_SRP	0	0	1	0	0	0
SUMO2P3	12	17	6	17	11	16
PSPHP1	0	50	35	0	36	61
SEPTIN14	3	0	0	0	0	0
PAXIP1-DT	9	41	21	14	11	20
ZNF890P	0	0	0	0	0	0
POT1-AS1	6	24	23	7	15	23
LINC03060	19	18	7	14	6	23
LINC02587	0	0	0	0	0	0
LINC03007	0	2	0	0	0	0
PMS2P3	35	30	16	30	31	22
SND1-DT	1	1	1	0	0	0
ZNF815P	12	23	7	7	4	2
LOC105375587	0	5	0	0	0	0
LINC03011	4	13	7	10	18	25
LINC02848	0	0	0	0	0	7
LOC107986760	0	0	0	0	0	0
LINC03016	1	0	1	2	4	2
CDK6-AS1	3	5	2	3	1	1
ZNF767P	142	280	101	192	132	140
DPY19L2P4	0	0	0	0	0	0
ITGB8-AS1	18	22	4	8	9	4
SEPTIN7-DT	9	15	5	14	4	11
MICALL2-DT	2	7	5	2	3	0
ABHD11-AS1	9	12	7	11	12	19
FAM185BP	2	3	6	10	4	3
CASTOR3	273	420	221	154	100	79
CCT6P1	53	76	53	49	21	35
TRG-AS1	0	0	0	2	0	0
SEC61G-DT	9	5	8	1	2	9
GTF2IRD1P1	0	3	1	3	3	1
DPY19L2P1	27	12	29	21	0	6
LOC101927609	9	14	11	16	4	4
RABGEF1P1	190	342	245	134	148	214
SNHG26	22	109	47	49	48	69
DPY19L2P2	22	38	6	40	14	6
LINC02981	0	0	2	0	0	0
KMT2E-AS1	7	18	9	7	9	19
SEPTIN7P2	147	267	113	174	131	147
LOC105375170	2	4	2	13	13	7
GARS1-DT	181	582	119	278	287	178
RP9P	74	112	107	73	60	102
MKLN1-AS	24	58	41	82	55	70
FAM131B-AS2	99	64	130	95	78	128
ELN-AS1	5	12	1	0	4	2
EGFR-AS1	6	3	4	0	1	2
PRKAG2-AS1	0	0	3	1	2	0
LOC154761	3	0	4	6	2	6
LOC100996437	8	20	19	11	20	23
HRAT17	0	3	11	1	2	8
PRKAR1B-AS1	0	0	0	0	0	0
SNHG15	120	139	204	120	139	238
SLC12A9-AS1	0	0	0	3	0	0
NSUN5P1	76	169	51	86	51	47
SBDSP1	240	335	294	427	504	852
PPP1R9A-AS1	0	0	0	0	0	0
PSMG3-AS1	48	260	33	71	87	31
TP53TG1	57	78	63	109	77	107
PMS2P1	71	138	113	80	58	84
LINC01004	22	99	21	41	29	19
LOC105375130	0	0	0	0	0	0
LINC-PINT	389	1006	445	318	428	800
STAG3L4	93	151	83	102	71	89
MAGI2-AS3	1233	2031	1092	2043	1418	1767
EPHA1-AS1	5	0	7	5	0	5
PMS2P4	7	22	23	21	14	24
PDGFA-DT	3	21	3	0	6	0
NFE4	0	0	0	0	0	1
APTR	61	102	81	97	74	93
MUC12-AS1	0	4	6	0	2	1
COBL	0	0	0	0	1	1
RPL7L1P2	0	1	0	0	0	0
CICP17	0	0	0	0	0	0
CYP3A7-CYP3A51P	0	1	0	6	2	0
DUS4L-BCAP29	16	46	27	14	25	9
BCAP29	7	5	7	9	2	3
LOC124901856	14	18	5	6	4	4
SLC26A4-AS1	2	2	0	0	1	0
CBLL1-AS1	7	29	15	7	12	29
NECAP1P1	0	0	0	0	0	0
GPR141	0	0	0	0	0	0
EPDR1	11	444	106	12	245	88
GPR141BP	0	0	0	0	0	0
COX5BP3	0	0	0	0	0	0
RPS3AP27	0	0	0	1	0	0
EXOC4	1072	1565	749	728	532	484
PPP2R3B	140	208	122	152	38	58
HADHBP1	1	0	1	0	0	0
PRKX-AS1	0	0	0	0	0	0
PRKX	598	589	478	580	486	482
ASMTL-AS1	20	110	14	40	27	9
GS1-600G8.3	0	0	0	0	0	0
IL3RA	22	107	18	28	17	13
P2RY8	0	0	0	0	0	1
RPS5P8	36	30	62	72	26	72
RPS27AP20	0	0	0	0	0	0
RPL6P30	0	1	0	0	0	1
SLC25A6	3895	4283	5143	9773	4724	8061
AMELX	0	0	0	0	0	0
ASMT	0	1	0	1	0	0
DHRSX-IT1	0	5	6	1	7	2
LINC01203	18	2	8	7	1	1
DHRSX	356	536	603	403	451	587
SHROOM2	255	9	9	51	1	9
ANOS1	11	0	4	18	3	2
ASMTL	149	232	139	380	200	235
CRLF2	0	0	0	0	0	0
FAM9CP1	0	0	0	0	0	0
LINC02968	1	8	0	2	7	2
FAM9B	0	1	0	1	0	0
LINC00106	17	65	3	28	24	8
HCCS	495	684	585	256	398	428
HIKESHIP1	0	0	0	0	0	0
NLGN4X	35	1	2	59	0	0
SRPX	2221	2251	1398	6428	3658	3589
LINC00685	5	17	7	2	2	1
GRPR	19	11	11	58	10	9
TMSB10P2	0	0	0	0	0	0
BEND2	0	0	0	0	0	0
FAM3C2P	94	157	75	78	57	57
RPL35AP37	0	0	0	0	0	0
TMEM47	6720	10214	4578	2266	3734	3407
UBE2E4P	50	72	53	44	37	30
AKAP17A	687	894	554	1112	524	677
SMPX	0	0	0	0	0	0
CNKSR2	11	21	4	20	25	13
SYTL5	66	1	21	162	23	127
LOC100132857	9	5	5	7	5	7
METTL1P1	0	0	0	0	0	0
FTH1P27	0	0	0	0	0	0
RPS15AP40	1	0	0	0	1	0
GAPDHP65	138	171	142	201	282	198
GLRA2	0	0	0	0	0	1
PGAM1P7	0	0	1	0	1	0
ADGRG2	2	9	0	4	4	5
RAI2	21	15	72	12	2	10
RBM39P1	2	6	3	4	4	4
CTPS2	378	368	123	349	122	104
TNIP2P1	0	0	1	0	1	0
GAPDHP1	131	178	132	196	200	223
S100G	0	0	0	1	0	0
MKI67P1	0	0	0	0	0	0
GPX1P1	394	534	295	415	736	213
RP2	858	762	703	499	526	716
MBTPS2	867	1070	593	809	597	618
FAM47DP	0	0	0	0	0	0
MAGEB17	0	0	0	13	1	4
SCML2	242	228	102	98	67	32
YBX1P8	0	0	0	0	1	0
TSR2	333	590	440	581	656	715
EFHC2	8	32	2	16	22	3
LINC01204	4	10	7	14	16	7
MED14	1239	1574	768	1232	754	678
CHST7	73	296	135	146	298	208
MFFP3	0	0	0	0	0	1
USP27X	67	105	60	58	27	8
CCNYL5	1	6	0	2	5	0
CLCN5	193	384	182	398	336	418
DDX53	0	0	0	0	1	0
LOC100421603	0	0	0	0	0	0
UQCR10P1	0	0	0	0	0	0
CHMP5P1	0	2	0	3	1	2
RDXP3	2	2	0	0	0	0
FTH1P19	0	0	0	0	0	0
MAGEB10	0	0	0	0	0	0
IPO7P1	0	0	1	0	0	2
ITIH6	0	0	0	0	0	0
PTCHD1	1	0	1	1	0	0
SYAP1	1580	1832	1069	1717	1234	1337
MTMR8	1	5	2	1	1	0
KRT8P14	1	2	3	10	2	2
CDKL5	488	500	244	409	379	316
ERCC6L	19	10	20	3	2	2
NUDT11	428	438	375	217	179	278
SSBL2P	31	49	41	29	26	48
NDP	7	92	7	4	71	16
YY2	17	19	13	4	1	4
ETF1P3	0	0	0	0	0	0
DYNLT3	1376	1236	1552	1543	938	2610
MAOB	39	81	15	57	41	8
KPNA4P1	0	2	1	0	0	0
RPL19P20	1	1	2	0	0	0
JADE3	272	438	168	562	482	315
FOXR2	0	0	0	2	0	0
SLC9A7	918	1764	1014	582	526	534
HNRNPDP1	0	0	0	0	0	0
RBMXP5	0	0	0	1	0	0
PHKA1-AS1	0	0	0	0	0	0
MAGEH1	278	420	280	629	472	463
ZNF674-AS1	30	49	33	37	26	36
RAB11FIP1P1	10	30	1	14	6	5
BMP2KL	0	0	0	0	0	1
NDP-AS1	0	0	0	0	0	0
SPIN4-AS1	0	0	0	1	1	0
PIR	23	434	31	327	1115	441
EDA2R	1784	2125	1105	981	941	639
CYSLTR1	10	43	1	0	51	2
ATP6AP2	3286	4509	2477	7455	5120	6325
SLC16A2	1144	947	860	1606	408	535
LINC01545	3	4	0	8	4	4
TERF1P7	1	6	0	0	3	0
LDHBP2	53	77	78	82	89	120
GOT2P6	0	2	0	0	0	0
MTHFD1P1	1	2	0	0	1	1
TOMM20P4	24	25	31	72	29	34
FGD1	229	315	186	309	160	136
MAGED2	4171	5224	3759	4624	5156	4813
KLF8	31	107	32	9	18	3
THAP12P1	0	1	0	0	0	0
PSMA1P1	1	0	0	0	0	0
FGF16	0	0	1	0	0	0
HDAC8	115	228	92	61	36	55
UPRT	133	198	76	164	122	120
SETP4	0	0	0	1	0	0
LINC01284	0	0	0	0	0	0
USP27X-DT	11	4	4	11	2	14
HDX	153	175	83	151	107	61
NAP1L6P	0	0	0	0	0	0
PABPC5	86	28	25	29	0	3
ARL13A	4	0	0	3	0	2
EEF1A1P15	0	0	0	0	0	0
BRWD3	989	880	437	804	336	251
RPSAP15	9	3	8	9	5	7
EIF4A1P10	14	13	17	41	25	45
EDA	5	3	10	3	0	4
CHM	1053	955	578	1274	794	855
STAU2P1	10	26	9	7	17	3
PIN4	251	337	307	166	160	259
HNRNPA1P25	0	2	1	2	0	1
TTC3P1	182	294	97	111	51	40
STIP1P3	1	1	2	0	1	1
KAT7P1	0	2	1	0	4	0
KLHL4	23	53	47	8	32	12
VDAC1P1	61	79	64	94	57	143
ATP5MKP1	0	1	0	0	0	0
HNRNPA1P27	0	3	0	3	1	1
CITED1	0	0	1	0	0	0
IGBP1-AS2	0	2	0	0	0	0
NOX1	5	9	4	15	2	12
NUDT10	53	16	36	4	0	3
RPS7P14	2	3	3	4	1	0
FOXN3P2	0	0	0	0	0	0
RPS6P26	0	0	0	0	0	0
MAGEE1	80	104	34	29	6	18
TCEAL9	1937	2529	1929	2835	2623	3331
RPSAP8	2	2	5	9	2	6
PBDC1	256	242	176	400	385	423
DIAPH2-AS1	0	0	0	0	4	0
RTL3	28	7	4	0	2	0
BRAFP1	2	1	2	0	1	3
NUDT19P2	0	0	0	0	0	0
USP12PX	0	1	1	0	0	0
ST13P18	1	1	0	0	2	0
ACTR3P2	51	57	63	49	54	74
KRT18P11	0	0	0	0	0	0
NBDY	452	660	503	546	522	622
SH3BGRL	3212	3845	2056	2239	1897	1588
CSGALNACT2P1	6	2	0	4	4	1
HK2P1	1	1	0	1	3	0
ATP5MC2P4	60	80	78	93	60	116
TRMT2B	114	148	104	209	108	120
NSA2P3	0	0	1	3	0	0
HNRNPA1P26	0	1	0	0	1	2
LOC100419786	0	1	0	0	0	0
VDAC1P3	0	1	0	0	0	1
UQCRBP1	0	4	1	2	0	2
XKRX	3	5	1	6	1	0
MAGEE2	0	0	0	0	0	0
TERF1P4	0	2	1	2	1	2
SERBP1P1	53	52	22	30	23	45
MKRN4P	5	10	9	3	6	4
XK	3	5	4	0	2	1
MED14OS	6	2	2	5	1	2
RANBP1P1	5	4	0	4	5	6
NLRP2B	0	0	0	1	0	0
AP2B1P1	29	35	37	48	45	17
ARHGAP6	275	323	113	335	142	130
NXF3	2	0	0	0	0	0
ATG4A	187	280	169	284	239	319
AWAT2	0	0	0	2	0	0
PSMD10	708	861	603	905	955	1243
NRK	447	537	574	259	152	430
LRCH2	532	495	346	759	386	514
FUNDC1	138	189	140	128	133	176
PINCR	3	4	8	16	19	56
CCNB3	1	1	0	4	7	0
NLRP3P1	0	5	0	0	0	0
LOC100128601	0	1	0	0	0	0
RAB40AL	0	0	0	0	0	0
EIF3JP1	4	2	4	4	2	7
P2RY10	0	0	0	0	0	0
KRBOX4	157	225	103	188	107	157
EFNB1	1300	854	913	928	462	545
RPS4X	24265	19412	13254	36325	15872	17552
PPP1R2C	0	0	0	0	0	0
PHB1P10	0	1	0	0	0	0
DLG3	334	376	142	350	184	87
